replicate,mae_top1_1400,mae_uniform14_eq1400,mae_weighted14_eq1400,delta_weighted_minus_uniform,delta_weighted_minus_top1
23,0.030904761904761928,0.0796949806949807,0.07005582423357365,-0.009639156461407047,0.03915106232881172
24,0.030758043758043776,0.048823680823680826,0.04090328264441004,-0.007920398179270788,0.010145238886366263
25,0.02519433719433721,0.05542342342342342,0.04308382135388338,-0.012339602069540039,0.017889484159546172
26,0.031190476190476206,0.060929214929214943,0.0478326419346283,-0.013096572994586643,0.016642165744152095
27,0.027898326898326914,0.049423423423423395,0.04171787664358814,-0.0077055467798352525,0.013819549745261228
28,0.029706563706563726,0.06867438867438869,0.05975920606280676,-0.008915182611581925,0.030052642356243036
29,0.02423166023166025,0.057371943371943374,0.04699356891044713,-0.010378374461496247,0.022761908678786878
30,0.027167310167310183,0.05703989703989706,0.048802389797501344,-0.008237507242395713,0.02163507963019116
31,0.027111969111969128,0.06470656370656373,0.053937457473478924,-0.010769106233084809,0.026825488361509796
32,0.039893178893178914,0.05970398970398974,0.04751528164907585,-0.012188708054913892,0.007622102755896934
33,0.03476061776061778,0.04621364221364223,0.038803192801018044,-0.007410449412624184,0.004042575040400266
34,0.02541698841698844,0.05306563706563709,0.04021979268448582,-0.012845844381151272,0.014802804267497381
35,0.029561132561132585,0.03690476190476193,0.029163323121941725,-0.007741438782820208,-0.00039780943919085973
36,0.028195624195624214,0.05914671814671813,0.05020607810315044,-0.00894064004356769,0.022010453907526227
37,0.027231660231660248,0.058391248391248395,0.046762132173080895,-0.0116291162181675,0.019530471941420647
38,0.025199485199485217,0.04472586872586875,0.03571074661490149,-0.009015122110967257,0.010511261415416275
39,0.02471042471042473,0.04259459459459461,0.03477279460742321,-0.007821799987171398,0.01006236989699848
40,0.03337580437580439,0.0403912483912484,0.032510703266029825,-0.007880545125218574,-0.0008651011097745645
41,0.02454826254826256,0.04897812097812096,0.03705409817978477,-0.011924022798336188,0.01250583563152221
42,0.02542471042471044,0.059965250965250995,0.04738530494745819,-0.012579946017792804,0.02196059452274775
43,0.029281853281853298,0.08293050193050198,0.07260518756567166,-0.01032531436483032,0.04332333428381836
44,0.026601029601029617,0.0666357786357786,0.05711959233577935,-0.00951618629999925,0.030518562734749736
45,0.030456885456885477,0.06426383526383526,0.05010546558796196,-0.014158369675873306,0.019648580131076482
46,0.025857142857142877,0.042558558558558564,0.03134834573727972,-0.01121021282127884,0.005491202880136846
47,0.026164736164736184,0.05895624195624198,0.0452855854002749,-0.013670656555967081,0.019120849235538716
48,0.03411840411840413,0.0422123552123552,0.03843159895863905,-0.0037807562537161554,0.004313194840234916
